groupId,name,abbreviation,isSupplemental,publishedOn,modifiedOn,categoryId
2208,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,SMK2,True,2018-04-06T00:00:00,2023-01-06T21:37:31.22,3
2178,SM - Ultra Prism,SM05,False,2018-02-02T00:00:00,2023-10-29T09:53:40.273,3
2148,McDonald's Promos 2017,MCD17,True,2017-11-07T00:00:00,2022-09-23T15:39:06.843,3
2071,SM - Crimson Invasion,SM04,False,2017-11-03T00:00:00,2023-09-16T19:09:06.777,3
2054,Shining Legends,SHL,False,2017-10-06T00:00:00,2023-10-23T03:33:39.767,3
1957,SM - Burning Shadows,SM03,False,2017-08-04T00:00:00,2023-10-13T14:43:49.08,3
1938,Alternate Art Promos,PR,True,2017-05-19T00:00:00,2023-11-10T16:11:17.453,3
1919,SM - Guardians Rising,SM02,False,2017-05-05T00:00:00,2023-10-17T10:09:45.353,3
23095,Ash vs Team Rocket Deck Kit (JP Exclusive),AVTR,False,2017-04-21T00:00:00,2023-04-04T11:55:00.78,3
2069,SM Trainer Kit: Lycanroc & Alolan Raichu,SMK1,False,2017-04-21T00:00:00,2023-07-13T12:53:19.127,3
1863,SM Base Set,SM01,False,2017-02-03T00:00:00,2023-10-28T15:19:03.92,3
1861,SM Promos,SMP,False,2016-12-14T00:00:00,2023-10-20T14:54:01.867,3
1842,XY - Evolutions,EVO,False,2016-11-02T00:00:00,2023-11-06T10:42:41.343,3
1840,Deck Exclusives,PR,False,2016-09-01T00:00:00,2023-11-07T14:14:10.307,3
3087,McDonald's Promos 2016,MCD16,True,2016-08-05T00:00:00,2022-10-25T17:20:52.377,3
1815,XY - Steam Siege,STS,False,2016-08-03T00:00:00,2023-09-27T05:40:04.91,3
1539,League & Championship Cards,PR,False,2016-06-01T00:00:00,2023-10-31T08:10:41.077,3
1780,XY - Fates Collide,FCO,False,2016-05-02T00:00:00,2023-11-08T04:56:42.227,3
1796,XY Trainer Kit: Pikachu Libre & Suicune,PR,False,2016-04-27T00:00:00,2023-03-31T16:31:45.393,3
1728,Generations,GEN,False,2016-02-22T00:00:00,2023-10-08T13:41:11.187,3
1729,Generations: Radiant Collection,GEN,False,2016-02-22T00:00:00,2023-11-03T06:39:20.347,3
1701,XY - BREAKpoint,BKP,False,2016-02-03T00:00:00,2023-09-05T07:43:14.68,3
1694,McDonald's Promos 2015,MCD15,False,2015-11-23T00:00:00,2022-09-22T20:48:29.85,3
1661,XY - BREAKthrough,BKT,False,2015-11-04T00:00:00,2023-09-03T04:55:29.887,3
1576,XY - Ancient Origins,AOR,False,2015-08-12T00:00:00,2023-10-31T10:04:24.277,3
